paper,author,affiliations
ALMA chemical survey of disk-outflow sources in Taurus (ALMA-DOT) VII: the layered molecular outflow from HL Tau and its relationship with the ringed disk,J. Ferreira,"Univ. Grenoble Alpes, CNRS, IPAG, 38000 Grenoble, France"

Study of the gamma-Ray Radiation Properties of High-redshift Blazars at z>2.5,Fan Wu,"School of Physics and Astronomy, Key Laboratory of Astroparticle Physics of Yunnan Province, Yunnan University, Kunming 650091, P. R. China"
Study of the gamma-Ray Radiation Properties of High-redshift Blazars at z>2.5,Benzhong Dai,"School of Physics and Astronomy, Key Laboratory of Astroparticle Physics of Yunnan Province, Yunnan University, Kunming 650091, P. R. China"

HD 206893 B at High Spectral Resolution with the Keck Planet Imager and Characterizer (KPIC),Ben Sappey,"Department of Physics, University of California, San Diego, La Jolla, CA 92093"

Science Opportunities of Wet Extreme Mass-Ratio Inspirals,Zhenwei Lyu,"Leicester International Institute, Dalian University of Technology, Panjin 124221, China"
Science Opportunities of Wet Extreme Mass-Ratio Inspirals,Zhen Pan,"Tsung-Dao Lee Institute, Shanghai Jiao-Tong University, Shanghai, 520 Shengrong Road, 201210, China; School of Physics & Astronomy, Shanghai Jiao-Tong University, Shanghai, 800 Dongchuan Road, 200240, China"
Science Opportunities of Wet Extreme Mass-Ratio Inspirals,Junjie Mao,"Department of Astronomy, Tsinghua University, Beijing 100084, China"
Science Opportunities of Wet Extreme Mass-Ratio Inspirals,Ning Jiang,"CAS Key Laboratory for Research in Galaxies and Cosmology, Department of Astronomy, University of Science and Technology of China, Hefei 230026, People’s Republic of China; School of Astronomy and Space Sciences, University of Science and Technology of China, Hefei 230026, People’s Republic of China"
Science Opportunities of Wet Extreme Mass-Ratio Inspirals,Huan Yang,"Department of Astronomy, Tsinghua University, Beijing 100084, China"

An orphan flare from a plasma blob crossing the broad-line region ?,S. Le Bihan,"LUX, Observatoire de Paris, Université PSL, Sorbonne Université, CNRS, 92190 Meudon, France"
An orphan flare from a plasma blob crossing the broad-line region ?,A. Dmytriiev,"Centre for Space Research, North-West University, Potchefstroom, 2520, South Africa"
An orphan flare from a plasma blob crossing the broad-line region ?,A. Zech,"LUX, Observatoire de Paris, Université PSL, Sorbonne Université, CNRS, 92190 Meudon, France"

Estimating Black Hole Masses in Obscured AGN from X-ray and Optical Emission Line Luminosities,Stephanie LaMassa,"Space Telescope Science Institute 3700 San Martin Dr., Baltimore, MD, 21218, USA"
Estimating Black Hole Masses in Obscured AGN from X-ray and Optical Emission Line Luminosities,Isabella Farrow,"Department of Physics, Yale University, P.O. Box 201820, New Haven, CT 06520-8120, USA; Yale Center for Astronomy and Astrophysics, P.O. Box 208121, New Haven, CT 06520, USA"
Estimating Black Hole Masses in Obscured AGN from X-ray and Optical Emission Line Luminosities,C. Megan Urry,"Department of Physics, Yale University, P.O. Box 201820, New Haven, CT 06520-8120, USA; Yale Center for Astronomy and Astrophysics, P.O. Box 208121, New Haven, CT 06520, USA"
Estimating Black Hole Masses in Obscured AGN from X-ray and Optical Emission Line Luminosities,Benny Trakhtenbrot,"School of Physics and Astronomy, Tel Aviv University, Tel Aviv 69978, Israel"
Estimating Black Hole Masses in Obscured AGN from X-ray and Optical Emission Line Luminosities,Connor Auge,"Eureka Scientific, 2452 Delmer Street Suite 100, Oakland, CA 94602-3017, USA"
Estimating Black Hole Masses in Obscured AGN from X-ray and Optical Emission Line Luminosities,Michael J. Koss,"Eureka Scientific, 2452 Delmer Street Suite 100, Oakland, CA 94602-3017, USA"
Estimating Black Hole Masses in Obscured AGN from X-ray and Optical Emission Line Luminosities,Alessandro Peca,"Eureka Scientific, 2452 Delmer Street Suite 100, Oakland, CA 94602-3017, USA; Department of Physics, Yale University, P.O. Box 201820, New Haven, CT 06520-8120, USA"
Estimating Black Hole Masses in Obscured AGN from X-ray and Optical Emission Line Luminosities,Dave Sanders,"Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI, 96822, USA"

Polarization Profiles of Globular Cluster Pulsars from FAST I. 25 Profiles from Previously Known Pulsars,Tong Liu,"National Astronomical Observatories, Chinese Academy of Sciences, 20A Datun Road, Chaoyang District, Beijing 100101, Peopleʼs Republic of China; College of Astronomy and Space Sciences, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China"
Polarization Profiles of Globular Cluster Pulsars from FAST I. 25 Profiles from Previously Known Pulsars,Lin Wang,"Shanghai Astronomical Observatory, Chinese Academy of Sciences, 80 Nandan Road, Shanghai 200030, People's Republic of China"
Polarization Profiles of Globular Cluster Pulsars from FAST I. 25 Profiles from Previously Known Pulsars,Zhichen Pan,"National Astronomical Observatories, Chinese Academy of Sciences, 20A Datun Road, Chaoyang District, Beijing 100101, Peopleʼs Republic of China; College of Astronomy and Space Sciences, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China; CAS Key Laboratory of FAST, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; Guizhou Radio Astronomical Observatory, Guizhou University, Guiyang 550025, People's Republic of China"


The Southern Twenty-centimetre All-sky Polarization Survey (STAPS): survey description and maps,Xiaohui Sun,"School of Physics and Astronomy, Yunnan University, Kunming 650500, China"
The Southern Twenty-centimetre All-sky Polarization Survey (STAPS): survey description and maps,Marijke Haverkorn,"Department of Astrophysics/IMAPP, Radboud University, Nijmegen, PO Box 9010, 6500 GL Nijmegen, the Netherlands"
The Southern Twenty-centimetre All-sky Polarization Survey (STAPS): survey description and maps,Ettore Carretti,"INAF Instituto di Radioastronomia, Via Gobetti 101, 40129 Bologna, Italy"
The Southern Twenty-centimetre All-sky Polarization Survey (STAPS): survey description and maps,Tom Landecker,"National Research Council Canada, Herzberg Research Centre for Astronomy and Astrophysics, Dominion Radio Astrophysical Observatory, P.O. Box 248, Penticton, BC V2A 6J9, Canada"
The Southern Twenty-centimetre All-sky Polarization Survey (STAPS): survey description and maps,B. M. Gaensler,"Department of Astronomy and Astrophysics, University of California Santa Cruz, Santa Cruz, CA 95064, USA"
The Southern Twenty-centimetre All-sky Polarization Survey (STAPS): survey description and maps,Sergio Poppi,"INAF -- Osservatorio Astronomico di Cagliari, Via della Scienza 5, I-09047 Selargius, Italy"
The Southern Twenty-centimetre All-sky Polarization Survey (STAPS): survey description and maps,Lister Staveley-Smith,"International Centre for Radio Astronomy Research (ICRAR), University of Western Australia, 35 Stirling Hwy, Crawley, WA 6009, Australia"
The Southern Twenty-centimetre All-sky Polarization Survey (STAPS): survey description and maps,Xuyang Gao,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, PR China"
The Southern Twenty-centimetre All-sky Polarization Survey (STAPS): survey description and maps,Jinlin Han,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, PR China"

High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Misaki Mizumoto,"University of Teacher Education Fukuoka, Munakata, Fukuoka 811-4192, Japan"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Tsubasa Tamba,"ISAS/JAXA, Sagamihara, Kanagawa 252-5210, Japan"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Masahiro Tsujimoto,"ISAS/JAXA, Sagamihara, Kanagawa 252-5210, Japan"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Renata S. Cumbee,"NASA GSFC, Greenbelt, MD 20771, USA"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Megan E. Eckart,"Lawrence Livermore National Laboratory, Livermore, CA 94550, USA"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Edmund Hodges-Kluck,"NASA GSFC, Greenbelt, MD 20771, USA"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Yoshitaka Ishisaki,"Tokyo Metropolitan University, Hachioji, Tokyo 192-0397, Japan; ISAS/JAXA, Sagamihara, Kanagawa 252-5210, Japan"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Caroline A. Kilbourne,"NASA GSFC, Greenbelt, MD 20771, USA"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Maurice A. Leutenegger,"NASA GSFC, Greenbelt, MD 20771, USA"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Frederick S. Porter,"NASA GSFC, Greenbelt, MD 20771, USA"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Makoto Sawada,"Rikkyo University, Toshima-ku, Tokyo 171-8501, Japan"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Yoh Takei,"ISAS/JAXA, Tsukuba, Ibaraki 305-8505, Japan"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Yuusuke Uchida,"Tokyo University of Science, Noda, Chiba 278-8510, Japan"
High count rate effects in event processing for XRISM/Resolve x-ray microcalorimeter: I. Ground test,Shin'ya Yamada,"Rikkyo University, Toshima-ku, Tokyo 171-8501, Japan"

Orbital Dynamics of Atlas (S XV): its Current Orbit and the Recent Past,Demétrio Tadeu Ceccatto,"São Paulo State University (UNESP), Institue of Geosciences and Exact Sciences, Rio Claro, Av. 24A, 1515, Rio Claro, 13506-900, São Paulo, Brazil"
Orbital Dynamics of Atlas (S XV): its Current Orbit and the Recent Past,Nelson Callegari Jr.,"São Paulo State University (UNESP), Institue of Geosciences and Exact Sciences, Rio Claro, Av. 24A, 1515, Rio Claro, 13506-900, São Paulo, Brazil"
Orbital Dynamics of Atlas (S XV): its Current Orbit and the Recent Past,Gabriel Teixeira Guimarães,"Graduate University for Advanced Studies, SOKENDAI Shonankokusaimura, Hayama, Miura District Kanagawa, Tokyo, 240-0115, Japan; Division of Science, National Astronomical Observatory of Japan, NAOJ, Osawa, Mitaka, Tokyo, 181-8588, Japan"
Orbital Dynamics of Atlas (S XV): its Current Orbit and the Recent Past,Karyna Gimenez,"Observatório do Valongo, Universidade Federal do Rio de Janeiro (UFRJ), Ladeira do Pedro Antônio 43, Rio de Janeiro, 20080-090, Rio de Janeiro, Brazil"

Life in the Slow Lane: A Search for Long Term Variability in ASAS-SN,Sydney Petz,"Department of Astronomy, The Ohio State University, 140 W 18th Avenue, Columbus, OH 43210, USA"
Life in the Slow Lane: A Search for Long Term Variability in ASAS-SN,C. S. Kochanek,"Department of Astronomy, The Ohio State University, 140 W 18th Avenue, Columbus, OH 43210, USA; Center for Cosmology and AstroParticle Physics, 191 W Woodruff Avenue, Columbus, OH 43210, USA"

Empirical Modeling of Magnetic Braking in Millisecond Pulsars to Measure the Local Dark Matter Density and Effects of Orbiting Satellite Galaxies,Thomas Donlon II,"Department of Physics and Astronomy, University of Alabama in Huntsville, 301 North Sparkman Drive, Huntsville, AL 35816, USA"
Empirical Modeling of Magnetic Braking in Millisecond Pulsars to Measure the Local Dark Matter Density and Effects of Orbiting Satellite Galaxies,Sukanya Chakrabarti,"Department of Physics and Astronomy, University of Alabama in Huntsville, 301 North Sparkman Drive, Huntsville, AL 35816, USA"
Empirical Modeling of Magnetic Braking in Millisecond Pulsars to Measure the Local Dark Matter Density and Effects of Orbiting Satellite Galaxies,Sophia Vanderwaal,"Department of Physics and Astronomy, University of Alabama in Huntsville, 301 North Sparkman Drive, Huntsville, AL 35816, USA"
Empirical Modeling of Magnetic Braking in Millisecond Pulsars to Measure the Local Dark Matter Density and Effects of Orbiting Satellite Galaxies,Lawrence M. Widrow,"Department of Physics, Engineering Physics and Astronomy, Queen’s University, Kingston, ON K7L 3N6, Canada"
Empirical Modeling of Magnetic Braking in Millisecond Pulsars to Measure the Local Dark Matter Density and Effects of Orbiting Satellite Galaxies,Scott Ransom,"National Radio Astronomy Observatory, 520 Edgemont Rd., Charlottesville, VA 22903, USA"
Empirical Modeling of Magnetic Braking in Millisecond Pulsars to Measure the Local Dark Matter Density and Effects of Orbiting Satellite Galaxies,Enrico Ramirez-Ruiz,"Department of Astronomy and Astrophysics, University of California, Santa Cruz, CA 95064, USA"

Probing the Limits of Habitability: A Catalog of Rocky Exoplanets in the Habitable Zone,Abigail Bohl,"Department of Astronomy and Cornell Center for Astrophysics and Planetary Science, Cornell University, Ithaca, NY, 14853, USA; Carl Sagan Institute, Cornell University, 302 Space Sciences Building, Ithaca, NY 14853, USA"
Probing the Limits of Habitability: A Catalog of Rocky Exoplanets in the Habitable Zone,Lucas Lawrence,"Department of Astronomy and Cornell Center for Astrophysics and Planetary Science, Cornell University, Ithaca, NY, 14853, USA; Carl Sagan Institute, Cornell University, 302 Space Sciences Building, Ithaca, NY 14853, USA"
Probing the Limits of Habitability: A Catalog of Rocky Exoplanets in the Habitable Zone,Gillis Lowry,"Department of Astronomy and Cornell Center for Astrophysics and Planetary Science, Cornell University, Ithaca, NY, 14853, USA; Carl Sagan Institute, Cornell University, 302 Space Sciences Building, Ithaca, NY 14853, USA"
Probing the Limits of Habitability: A Catalog of Rocky Exoplanets in the Habitable Zone,Lisa Kaltenegger,"Department of Astronomy and Cornell Center for Astrophysics and Planetary Science, Cornell University, Ithaca, NY, 14853, USA; Carl Sagan Institute, Cornell University, 302 Space Sciences Building, Ithaca, NY 14853, USA"

Bulk viscous matter in f(T) gravity: A path to cosmic acceleration,Kairat Myrzakulov,"Department of General & Theoretical Physics, L.N. Gumilyov Eurasian National University, Astana, 010008, Kazakhstan."
Bulk viscous matter in f(T) gravity: A path to cosmic acceleration,O. Donmez,"College of Engineering and Technology, American University of the Middle East, Egaila 54200, Kuwait."
Bulk viscous matter in f(T) gravity: A path to cosmic acceleration,M. Koussour,"Department of Physics, University of Hassan II Casablanca, Morocco."
Bulk viscous matter in f(T) gravity: A path to cosmic acceleration,S. Muminov,"Mamun University, Bolkhovuz Street 2, Khiva 220900, Uzbekistan."
Bulk viscous matter in f(T) gravity: A path to cosmic acceleration,E. Davletov,"Mamun University, Bolkhovuz Street 2, Khiva 220900, Uzbekistan."
Bulk viscous matter in f(T) gravity: A path to cosmic acceleration,J. Rayimbaev,"Institute of Fundamental and Applied Research, National Research University TIIAME, Kori Niyoziy 39, Tashkent 100000, Uzbekistan.; University of Tashkent for Applied Sciences, Str. Gavhar 1, Tashkent 100149, Uzbekistan.; Urgench State University, Kh. Alimjan Str. 14, Urgench 221100, Uzbekistan; Shahrisabz State Pedagogical Institute, Shahrisabz Str. 10, Shahrisabz 181301, Uzbekistan."
